 Sphere Test
            t(sec)              u(ft/sec)               v(ft/sec)               w(ft/sec)              p(rad/sec)            q(rad/sec)            r(rad/sec)               x(ft)                   y(ft)                   z(ft)                 e0                     ex                    ey                    ez
     0.000000000000E+00     5.000000000000E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00    -2.000000000000E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.000000000000E-02     4.910060835358E+01     0.000000000000E+00     3.188403444536E-01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     4.954763267912E-01     0.000000000000E+00    -1.999984010173E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     2.000000000000E-02     4.823241963875E+01     0.000000000000E+00     6.320922210131E-01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     9.821161561172E-01     0.000000000000E+00    -1.999936418184E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     3.000000000000E-02     4.739380677050E+01     0.000000000000E+00     9.400390770916E-01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.460223286750E+00     0.000000000000E+00    -1.999857768536E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     4.000000000000E-02     4.658325194062E+01     0.000000000000E+00     1.242944734368E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.930085800930E+00     0.000000000000E+00    -1.999748578384E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     5.000000000000E-02     4.579933757734E+01     0.000000000000E+00     1.541054989013E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     2.391977111152E+00     0.000000000000E+00    -1.999609339414E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     6.000000000000E-02     4.504073818872E+01     0.000000000000E+00     1.834599055385E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     2.846156921048E+00     0.000000000000E+00    -1.999440519572E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     7.000000000000E-02     4.430621299075E+01     0.000000000000E+00     2.123790870793E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     3.292872108715E+00     0.000000000000E+00    -1.999242564659E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     8.000000000000E-02     4.359459923359E+01     0.000000000000E+00     2.408830276682E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     3.732357539875E+00     0.000000000000E+00    -1.999015899795E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     9.000000000000E-02     4.290480615007E+01     0.000000000000E+00     2.689904089710E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     4.164836817468E+00     0.000000000000E+00    -1.998760930775E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.000000000000E-01     4.223580945991E+01     0.000000000000E+00     2.967187074536E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     4.590522973563E+00     0.000000000000E+00    -1.998478045323E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.100000000000E-01     4.158664637115E+01     0.000000000000E+00     3.240842828714E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     5.009619108840E+00     0.000000000000E+00    -1.998167614254E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.200000000000E-01     4.095641102704E+01     0.000000000000E+00     3.511024588858E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     5.422318984360E+00     0.000000000000E+00    -1.997829992545E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.300000000000E-01     4.034425035302E+01     0.000000000000E+00     3.777875966178E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     5.828807569835E+00     0.000000000000E+00    -1.997465520338E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.400000000000E-01     3.974936026333E+01     0.000000000000E+00     4.041531618550E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     6.229261552194E+00     0.000000000000E+00    -1.997074523866E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.500000000000E-01     3.917098219150E+01     0.000000000000E+00     4.302117865471E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     6.623849807873E+00     0.000000000000E+00    -1.996657316318E+02     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
